slug,title,category,cluster,layer,article_type,priority,status,version,created_date,last_updated,primary_kw,secondary_kw,score,next_update,word_count,faq_count,internal_links,notes
ai-coding-prompt-patterns,AIにコードを書かせるプロンプトパターン集,ai-api,ai-api,execution,reference,A,reviewed,v1.1,2026-02-12,2026-02-12,AI コード生成 プロンプト,"プロンプトパターン 業務自動化,AI コーディング 指示",,2026-03-29,313,5,16,T5/T6完了 パイプライン通過
api-key-management,APIキーの管理と安全な運用｜漏洩防止チェック,ai-api,ai-api,execution,howto,A,reviewed,v1.1,2026-02-12,2026-02-12,APIキー 管理,"APIキー 漏洩防止,APIキー セキュリティ",,2026-03-29,210,4,8,T5/T6完了 パイプライン通過
claude-api-intro,Claude API入門｜業務自動化を60分で実装する方法,ai-api,ai-api,execution,howto,A,reviewed,v1.1,2026-02-09,2026-02-12,Claude API 入門,"Claude API 使い方,Anthropic API",,2026-03-29,302,5,6,T5/T6完了 パイプライン通過
gemini-api-intro,Gemini API入門|PythonとGASで始めるAI活用,ai-api,ai-api,execution,howto,A,reviewed,v1.1,2026-02-09,2026-02-13,Gemini API 入門,"Gemini API 使い方,Google AI API",,2026-03-30,343,5,8,T5/T6完了 パイプライン通過
openai-api-intro,OpenAI API入門 - 業務自動化を始める実践ガイド,ai-api,ai-api,execution,howto,A,reviewed,v1.1,2026-02-09,2026-02-12,OpenAI API 入門,"ChatGPT API,GPT API 使い方",,2026-03-29,405,5,6,T5/T6完了 パイプライン通過
discord-ai-bot,Discord × AI Bot構築｜社内AI質問窓口の作り方,discord-bot,discord-bot,execution,howto,A,reviewed,v1.1,2026-02-12,2026-02-12,Discord AI Bot,"Discord ChatGPT Bot,社内AI 質問窓口",,2026-03-29,388,4,9,T5/T6完了 パイプライン通過
discord-scheduler-bot,Discord定時通知Botの作り方｜GAS×Webhook連携,discord-bot,discord-bot,execution,howto,A,reviewed,v1.1,2026-02-12,2026-02-12,Discord 定時通知 Bot,"Discord Webhook GAS,Discord 自動通知",,2026-03-29,253,4,7,T5/T6完了 パイプライン通過
discord-slash-commands,Discordスラッシュコマンド×GAS実装ガイド,discord-bot,discord-bot,execution,howto,A,reviewed,v1.1,2026-02-09,2026-02-12,Discord スラッシュコマンド,"Discord Bot コマンド,Discord インタラクション",,2026-03-29,333,5,10,T5/T6完了 パイプライン通過
discord-spreadsheet-db,DiscordスプレッドシートDB×GAS実装ガイド,discord-bot,discord-bot,execution,howto,A,reviewed,v1.1,2026-02-09,2026-02-12,Discord スプレッドシートDB,"Discord データ管理,Discord Bot データベース",,2026-03-29,333,5,9,T5/T6完了 パイプライン通過
discord-vs-line-bot,Discord Bot vs LINE Bot比較｜中小企業はどっち？,discord-bot,discord-bot,entry,comparison,A,reviewed,v1.1,2026-02-12,2026-02-12,Discord Bot vs LINE Bot,"Discord LINE 比較,チャットBot 中小企業",,2026-03-29,154,4,7,T5/T6完了 パイプライン通過
ai-coding-cost-reduction,AIコーディングで自動化開発コストを下げる方法,frameworks,frameworks,entry,framework,A,reviewed,v1.1,2026-02-12,2026-02-12,AIコーディング 開発コスト削減,"外注 内製 比較,AI開発 ROI",,2026-03-29,202,4,9,T5/T6完了 パイプライン通過
gas-ai-coding,Claude Codeで書くGASスクリプト｜プロンプト実例集,gas,gas,execution,howto,A,reviewed,v1.1,2026-02-12,2026-02-12,Claude Code GAS スクリプト,"AI GAS コード生成,Claude Code プロンプト実例",,2026-03-29,277,4,8,T5/T6完了 パイプライン通過
gas-chatgpt-api,GAS × ChatGPT API連携｜問い合わせ自動回答,gas,gas,execution,howto,A,reviewed,v1.1,2026-02-12,2026-02-12,GAS ChatGPT API 連携,"GAS OpenAI API,GAS 問い合わせ 自動回答",,2026-03-29,289,4,15,T5/T6完了 パイプライン通過
